PO Line ID,GR Posting Date,GR Effective Quantity
"4581776260-6",2023-04-04 00:00:00.000,3.00
"4581776260-60",2023-02-01 00:00:00.000,0.00
"4581776260-60",2023-03-03 00:00:00.000,5.00
"4581776260-60",2023-03-14 00:00:00.000,0.00
"4581776260-60",2023-04-04 00:00:00.000,30.00
"4581776260-61",2022-12-06 00:00:00.000,0.00
"4581776260-61",2022-12-20 00:00:00.000,5.00
"4581776260-62",2022-12-20 00:00:00.000,15.00
"4581776260-63",2023-03-14 00:00:00.000,0.00
"4581776260-63",2023-04-04 00:00:00.000,20.00
"4581776260-64",2023-09-08 00:00:00.000,0.00
"4581776260-64",2023-10-16 00:00:00.000,25.00
"4581776260-65",2023-03-29 00:00:00.000,0.00
"4581776260-65",2023-04-18 00:00:00.000,3.00
"4581776260-66",2022-12-20 00:00:00.000,100.00
"4581776260-66",2023-03-19 00:00:00.000,0.00
"4581776260-66",2023-04-18 00:00:00.000,98.00
"4581776260-67",2023-03-14 00:00:00.000,0.00
"4581776260-67",2023-04-04 00:00:00.000,14.00
"4581776260-68",2023-05-25 00:00:00.000,0.00
"4581776260-68",2023-06-20 00:00:00.000,8.00
"4581776260-7",2023-04-03 00:00:00.000,0.00
"4581776260-7",2023-05-02 00:00:00.000,3.00
"4581776260-8",2023-03-14 00:00:00.000,0.00
"4581776260-8",2023-04-04 00:00:00.000,1.00
"4581776260-9",2023-03-14 00:00:00.000,0.00
"4581776260-9",2023-04-04 00:00:00.000,50.00
"4581776385-2",2022-12-06 00:00:00.000,30.00
"4581777094-1",2022-12-07 00:00:00.000,0.00
"4581777094-1",2022-12-15 00:00:00.000,4.00
"4581777094-2",2022-12-07 00:00:00.000,0.00
"4581777094-2",2022-12-15 00:00:00.000,21.00
"4581778257-1",2022-12-25 00:00:00.000,90.00
"4581791231-1",2022-12-04 00:00:00.000,0.00
"4581791231-1",2023-01-27 00:00:00.000,5.00
"4581791231-10",2022-12-04 00:00:00.000,0.00
