po_line_id,gr_posting_date,gr_effective_quantity,gr_amount_usd
4581832746-7,2023-03-27,1.0,5000.01
4581832746-7,2023-05-30,-1.0,-5000.01
4581837071-1,2022-12-09,5.0,0.0
4581837173-1,2022-12-08,1.0,27.67
4581837795-1,2023-08-23,1.0,0.0
4581838136-1,2023-03-07,96.0,11723.2
4581838136-1,2023-04-05,240.0,28857.7
4581838136-1,2023-04-06,39.0,4689.37
4581838136-1,2023-04-17,120.0,14428.85
4581838136-1,2023-05-03,72.0,8554.45
4581838136-1,2023-05-11,48.0,5702.97
4581838136-1,2023-05-19,36.0,4277.22
4581838136-1,2023-06-06,24.0,2818.0
4581838136-1,2023-06-14,12.0,1409.0
4581840374-1,2022-12-19,300.0,0.0
4581840883-1,2023-04-18,6.0,0.0
4581840883-2,2023-04-04,12.0,0.0
4581840883-3,2023-04-18,4.0,0.0
4581840883-3,2023-05-29,8.0,0.0
4581840883-4,2023-04-18,6.0,0.0
4581840883-5,2023-04-18,6.0,0.0
4581840883-6,2023-04-18,30.0,0.0
4581841156-1,2022-12-12,1.0,0.0
4581843806-1,2023-01-11,5.0,0.0
4581845418-1,2023-01-15,4.0,0.0
4581846461-1,2023-07-28,6.0,0.0
4581846461-2,2023-01-03,50.0,0.0
4581846461-3,2023-01-03,12.0,0.0
4581846461-4,2023-01-03,24.0,0.0
4581846525-1,2023-06-14,5808.0,0.0
4581846533-1,2023-02-20,2915.0,0.0
4581847466-1,2023-01-30,2.0,480.0
4581847466-2,2023-01-30,2.0,550.0
4581847466-3,2023-01-30,2.0,604.0
4581847859-1,2023-01-06,80.0,0.0
4581848878-1,2022-12-15,1.0,0.0
4581848935-1,2023-03-27,3.0,8496.0
4581848935-2,2023-03-27,2.0,6852.0
4581850069-1,2023-01-06,1.0,0.0
4581850069-2,2023-01-06,1.0,0.0
4581850069-3,2023-04-04,10.0,0.0
4581850069-4,2022-12-20,30.0,0.0
4581850069-5,2023-08-30,10.0,0.0
4581850069-6,2023-04-04,5.0,0.0
4581850073-1,2023-05-19,1.0,0.0
4581851121-1,2023-01-06,50.0,0.0
4581851121-2,2023-01-06,50.0,0.0
4581851285-1,2022-12-23,3.0,18450.0
4581851285-2,2022-12-23,3.0,3712.5
4581851285-3,2022-12-23,3.0,810.0
4581851285-4,2022-12-23,3.0,2835.0
4581851285-5,2022-12-23,3.0,2812.5
4581851285-6,2022-12-23,3.0,180.0
4581855234-1,2023-03-07,3.0,0.0
4581855234-1,2023-04-04,1.0,0.0
