po_line_id,invoice_posting_date,ir_effective_quantity,ir_amount_usd
4581846461-3,2022-12-22,12.0,9.36
4581846461-4,2022-12-22,24.0,28.56
4581846525-1,2023-02-16,3432.0,22342.32
4581846525-1,2023-03-09,2376.0,15467.76
4581846533-1,2023-01-08,2915.0,19093.25
4581847466-1,2023-05-16,2.0,480.0
4581847466-2,2023-05-16,2.0,550.0
4581847466-3,2023-05-16,2.0,604.0
4581847859-1,2022-12-09,80.0,76.8
4581848878-1,2023-03-07,1.0,217.09
4581848878-1,2023-09-22,1.0,8649.65
4581848917-1,2023-01-08,1.0,0.0
4581848917-1,2023-03-03,-1.0,0.0
4581848917-10,2023-01-08,1.0,0.0
4581848917-10,2023-03-03,-1.0,0.0
4581848917-11,2023-01-08,1.0,0.0
4581848917-11,2023-03-03,-1.0,0.0
4581848917-12,2023-01-08,1.0,0.0
4581848917-12,2023-03-03,-1.0,0.0
4581848917-13,2023-01-08,1.0,0.0
4581848917-13,2023-03-03,-1.0,0.0
4581848917-14,2023-01-08,1.0,0.0
4581848917-14,2023-03-03,-1.0,0.0
4581848917-15,2023-01-08,1.0,0.0
4581848917-15,2023-03-03,-1.0,0.0
4581848917-16,2023-01-08,1.0,0.0
4581848917-16,2023-03-03,-1.0,0.0
4581848917-17,2023-01-08,1.0,0.0
4581848917-17,2023-03-03,-1.0,0.0
4581848917-18,2023-01-08,1.0,0.0
4581848917-18,2023-03-03,-1.0,0.0
4581848917-19,2023-01-08,1.0,0.0
4581848917-19,2023-03-03,-1.0,0.0
4581848917-2,2023-01-08,1.0,0.0
4581848917-2,2023-03-03,-1.0,0.0
4581848917-20,2023-01-08,1.0,0.0
4581848917-20,2023-03-03,-1.0,0.0
4581848917-21,2023-01-08,1.0,0.0
4581848917-21,2023-03-03,-1.0,0.0
4581848917-22,2023-01-08,1.0,0.0
4581848917-22,2023-03-03,-1.0,0.0
4581848917-23,2023-01-08,1.0,0.0
4581848917-23,2023-03-03,-1.0,0.0
4581848917-24,2023-01-08,1.0,0.0
4581848917-24,2023-03-03,-1.0,0.0
4581848917-25,2023-01-08,1.0,0.0
4581848917-25,2023-03-03,-1.0,0.0
4581848917-3,2023-01-08,1.0,0.0
4581848917-3,2023-03-03,-1.0,0.0
4581848917-4,2023-01-08,1.0,0.0
4581848917-4,2023-03-03,-1.0,0.0
4581848917-5,2023-01-08,1.0,0.0
4581848917-5,2023-03-03,-1.0,0.0
4581848917-6,2023-01-08,1.0,0.0
4581848917-6,2023-03-03,-1.0,0.0
4581848917-7,2023-01-08,1.0,0.0
4581848917-7,2023-03-03,-1.0,0.0
4581848917-8,2023-01-08,1.0,0.0
4581848917-8,2023-03-03,-1.0,0.0
4581848917-9,2023-01-08,1.0,0.0
4581848917-9,2023-03-03,-1.0,0.0
4581848933-1,2023-05-17,1.0,455.0
4581848935-1,2023-05-16,3.0,8496.0
4581848935-2,2023-05-16,2.0,6852.0
4581850069-1,2022-12-26,1.0,1460.3
4581850069-2,2022-12-12,1.0,1218.83
4581850069-3,2023-02-18,10.0,29.4
4581850069-4,2022-12-08,30.0,34.5
4581850069-5,2023-08-10,10.0,457.7
4581850069-6,2023-02-18,5.0,214.75
4581850073-1,2023-05-08,1.0,3436.56
4581851121-1,2022-12-17,50.0,343.0
4581851121-2,2022-12-17,50.0,357.5
4581851285-1,2023-05-17,3.0,18450.0
4581851285-2,2023-05-17,3.0,3712.5
4581851285-3,2023-05-17,3.0,810.0
4581851285-4,2023-05-17,3.0,2835.0
4581851285-5,2023-05-17,3.0,2812.5
4581851285-6,2023-05-17,3.0,180.0
4581855234-1,2023-02-18,3.0,479.79
4581855234-1,2023-03-04,1.0,159.93
4581855268-1,2022-12-13,3.0,652.47
4581856142-1,2022-12-12,5.0,36034.9
4581856593-1,2023-01-10,60000.0,48000.0
4581858037-1,2023-01-12,24.0,4686.72
4581858037-2,2023-01-12,24.0,4973.04
4581858037-3,2023-01-12,1.0,166.28
4581858037-4,2023-01-12,30.0,23010.0
4581858037-5,2023-01-12,2.0,657.08
4581858037-6,2023-01-12,1.0,961.0
4581858037-6,2023-02-27,1.0,961.0
4581858037-7,2023-02-01,2.0,4080.0
4581858037-8,2023-01-12,25.0,2350.0
4581858037-9,2023-01-12,25.0,2250.0
4581858071-1,2023-01-10,100.0,98.0
4581858071-10,2023-01-10,25.0,2250.0
4581858071-11,2022-12-12,1.0,30.0
4581858071-12,2023-03-06,2.0,763.14
4581858071-13,2022-12-12,2.0,907.68
4581858071-14,2023-03-28,1.0,3009.78
4581858071-15,2022-12-12,20.0,20.0
4581858071-16,2023-01-10,20.0,137.0
4581858071-17,2023-01-10,20.0,247.8
4581858071-18,2022-12-12,2.0,266.64
4581858071-19,2023-06-21,2.0,248.74
4581858071-2,2022-12-12,100.0,82.0
4581858071-20,2022-12-29,2.0,792.04
4581858071-21,2022-12-12,1.0,368.75
4581858071-21,2022-12-20,4.0,1475.0
4581858071-23,2023-01-10,1.0,126.44
4581858071-24,2023-01-10,1.0,961.0
4581858071-24,2023-03-29,1.0,961.0
4581858071-3,2023-01-10,25.0,725.75
4581858071-4,2023-01-10,50.0,162.5
4581858071-5,2023-08-10,2000.0,720.0
4581858071-5,2023-11-10,500.0,180.0
4581858071-6,2023-03-22,200.0,266.0
4581858071-7,2023-03-19,400.0,468.0
4581858071-8,2023-01-10,200.0,268.0
4581858071-9,2023-01-10,25.0,2350.0
4581858094-1,2023-05-25,4160.0,118199.21
4581858094-2,2023-05-25,100.0,997.88
4581858094-3,2023-05-25,500.0,3771.03
4581858094-4,2023-05-25,12.0,4567.88
4581858142-1,2023-05-16,1.0,360.0
4581858142-10,2023-05-16,1.0,504.0
4581858142-11,2023-05-16,1.0,540.0
4581858142-12,2023-05-16,1.0,588.0
4581858142-13,2023-05-16,1.0,588.0
4581858142-2,2023-05-16,1.0,360.0
4581858142-3,2023-05-16,1.0,366.0
4581858142-4,2023-05-16,1.0,366.0
4581858142-5,2023-05-16,2.0,732.0
4581858142-6,2023-05-16,2.0,816.0
4581858142-7,2023-05-16,1.0,408.0
4581858142-8,2023-05-16,1.0,480.0
4581858142-9,2023-05-16,1.0,504.0
4581858143-1,2023-01-20,22.0,59.4
4581858143-2,2023-01-20,22.0,23.1
4581858143-3,2023-01-20,22.0,18.92
4581858143-4,2022-12-27,2.0,887.32
4581858143-5,2022-12-27,4.0,187.36
4581860124-1,2022-12-13,1.0,0.01
4581860124-2,2022-12-13,1.0,0.01
4581860124-3,2022-12-13,1.0,0.01
4581862282-1,2023-01-25,48.0,29122.94
4581862282-10,2023-01-25,3.0,1992.32
4581862282-2,2023-01-25,80.0,14189.6
4581862282-3,2023-01-25,20.0,3971.98
4581862282-4,2023-01-25,200.0,1610.32
4581862282-6,2023-01-25,60.0,1534.26
4581862282-7,2023-01-25,60.0,1563.75
4581862282-8,2023-01-25,1000.0,9163.42
4581862282-9,2023-01-25,1000.0,6085.54
4581862287-1,2023-01-13,10.0,1930.0
4581862287-2,2023-01-13,10.0,2570.0
4581862287-3,2023-01-13,10.0,4000.0
4581862287-4,2023-01-13,10.0,6500.0
4581862287-5,2023-01-13,20.0,9500.0
4581862287-6,2023-01-13,20.0,15340.0
4581862370-1,2023-03-15,2.0,14414.4
4581862370-1,2023-04-25,1.0,7207.2
4581862371-1,2023-03-24,1.0,4.4
4581862372-1,2023-05-06,2.0,2402.5
4581862372-2,2023-05-06,2.0,1240.0
4581863877-1,2022-12-15,280.0,4303.6
4581864040-1,2022-12-22,4.0,664.2
4581864103-1,2022-12-09,1.0,0.01
4581864103-10,2022-12-09,1.0,0.01
4581864103-11,2022-12-09,1.0,0.01
4581864103-12,2022-12-09,1.0,0.01
4581864103-13,2022-12-09,1.0,0.01
4581864103-14,2022-12-09,1.0,0.01
4581864103-15,2022-12-09,1.0,0.01
4581864103-16,2022-12-09,1.0,0.01
4581864103-17,2022-12-09,1.0,0.01
4581864103-18,2022-12-09,1.0,0.01
4581864103-19,2022-12-09,1.0,0.01
4581864103-2,2022-12-09,1.0,0.01
4581864103-20,2022-12-09,1.0,0.01
4581864103-21,2022-12-09,1.0,0.01
4581864103-22,2022-12-09,1.0,0.01
4581864103-23,2022-12-09,1.0,0.01
4581864103-24,2022-12-09,1.0,0.01
4581864103-25,2022-12-09,1.0,0.01
4581864103-26,2022-12-09,1.0,0.01
4581864103-27,2022-12-09,1.0,0.01
4581864103-28,2022-12-09,1.0,0.01
4581864103-29,2022-12-09,1.0,0.01
4581864103-3,2022-12-09,1.0,0.01
4581864103-30,2022-12-09,1.0,45733.96
4581864103-31,2022-12-09,1.0,0.01
4581864103-32,2022-12-09,1.0,0.01
4581864103-33,2022-12-09,1.0,0.01
4581864103-34,2022-12-09,1.0,0.01
4581864103-35,2022-12-09,1.0,0.01
4581864103-36,2022-12-09,1.0,0.01
4581864103-37,2022-12-09,1.0,0.01
4581864103-38,2022-12-09,1.0,0.01
4581864103-39,2022-12-09,1.0,0.01
4581864103-4,2022-12-09,1.0,0.01
4581864103-40,2022-12-09,1.0,0.01
4581864103-5,2022-12-09,1.0,0.01
4581864103-6,2022-12-09,1.0,0.01
4581864103-7,2022-12-09,1.0,0.01
4581864103-8,2022-12-09,1.0,0.01
