PO Line ID,Invoice Posting Date,IR Effective Quantity,Invoice Amount
4581999499-20,2023-03-07 00:00:00.000,2.0,35.4
4581999499-21,2023-03-03 00:00:00.000,2.0,100.6
4581999499-22,2023-03-07 00:00:00.000,10.0,11.8
4581999499-22,2023-04-04 00:00:00.000,5.0,5.9
4581999499-22,2023-08-07 00:00:00.000,-1.0,-1.18
4581999499-23,2023-03-07 00:00:00.000,10.0,4.1
4581999499-23,2023-04-04 00:00:00.000,10.0,4.1
4581999499-23,2023-08-07 00:00:00.000,-1.0,-0.41
4581999499-24,2023-03-06 00:00:00.000,8.0,100.08
4581999499-25,2023-03-15 00:00:00.000,1.0,32.63
4581999499-27,2023-03-06 00:00:00.000,4.0,7.44
4581999499-28,2023-03-07 00:00:00.000,8.0,209.68
4581999499-29,2023-03-07 00:00:00.000,4.0,83.48
4581999499-3,2023-03-07 00:00:00.000,10.0,83.1
4581999499-30,2023-06-08 00:00:00.000,5.0,4.6
4581999499-31,2023-03-06 00:00:00.000,12.0,787.68
4581999499-33,2023-03-07 00:00:00.000,2.0,8.44
4581999499-34,2023-07-28 00:00:00.000,5.0,98.4
4581999499-4,2023-03-07 00:00:00.000,4.0,38.92
4581999499-5,2023-03-07 00:00:00.000,2.0,22.6
4581999499-6,2023-03-07 00:00:00.000,4.0,31.28
4581999499-6,2023-04-04 00:00:00.000,3.0,23.46
4581999499-6,2023-08-07 00:00:00.000,-1.0,-7.82
4581999499-7,2023-03-07 00:00:00.000,1.0,8.89
4581999499-7,2023-04-04 00:00:00.000,1.0,8.89
4581999499-7,2023-08-07 00:00:00.000,-1.0,-8.89
4581999499-8,2023-03-07 00:00:00.000,1.0,13.9
4582001567-1,2023-02-22 00:00:00.000,10.0,5083.4
4582001568-1,2023-02-22 00:00:00.000,4.0,3970.84
4582001641-1,2023-03-30 00:00:00.000,7.0,664.58
4582001641-1,2023-04-25 00:00:00.000,13.0,1234.22
